24,504,-952
64,528,-912
96,448,-816
0,456,-856
-40,440,-848
-16,448,-888
-32,440,-912
-16,432,-936
32,456,-928
40,448,-952
16,456,-944
-40,448,-936
-24,464,-944
-16,432,-936
16,408,-936
304,320,-848
136,376,-944
24,440,-968
-16,472,-840
0,544,-840
-16,544,-872
-48,544,-840
-8,544,-872
-16,496,-864
-24,488,-920
-24,520,-880
16,536,-880
40,408,-960
0,392,-904
-24,536,-832
8,664,-840
64,624,-872
56,560,-832
72,520,-840
96,488,-848
40,496,-824
0,576,-688
-16,704,-648
16,800,-712
32,776,-800
32,672,-856
16,584,-840
-24,560,-792
-24,576,-800
-16,592,-816
40,608,-736
24,616,-672
24,648,-656
24,728,-656
16,760,-680
16,760,-760
0,720,-752
8,680,-800
16,632,-784
8,608,-808
24,608,-720
8,624,-640
24,648,-624
0,680,-568
0,712,-608
16,744,-616
24,712,-616
32,688,-608
40,680,-512
8,720,-408
-24,776,-416
-24,856,-296
-40,912,-320
-40,976,-288
-40,992,-256
-16,1008,-304
-16,992,-336
-24,976,-224
-48,976,-216
-48,976,-136
-64,1000,-88
-96,1008,-112
-72,-1000,-40
-265,-161,0
104,-40,-1016
120,-48,-992
136,-40,-1024
112,-24,-960
104,-40,-1016
112,-72,1016
112,-56,1016
112,-32,-1024
88,-32,1000
96,-32,992
96,-24,-1000
104,-48,-992
112,-56,-968
112,-32,-1008
128,-40,-1008
128,-48,1016
120,-40,1016
120,-24,-960
120,0,-1008
144,-8,-1000
136,-24,-984
136,-32,-992
120,-32,1016
120,-32,-944
120,-32,-1016
112,-24,-1008
112,-32,-1000
128,-40,-992
112,-40,-1016
104,-16,-1016
128,-32,-968
128,-32,-992
144,-40,984
128,-40,1008
128,-32,1000
128,-24,-992
144,-24,1016
144,-16,-1000
160,-24,-1000
152,-48,-992
112,-72,1016
112,-72,-976
88,-64,-992
104,-32,-992
120,-56,-1016
128,-56,1008
120,-48,1016
136,-32,-1016
136,-32,-968
136,-40,-952
120,-40,-1000
136,-40,-992
128,-40,1008
152,-56,1016
160,-40,1016
144,-64,-1016
128,-56,-968
112,-40,-992
120,-24,1008
96,-56,1008
104,-72,-1008
112,-72,-1008
120,-64,-1008
112,-48,-1016
136,-48,-1008
128,-48,-1024
128,-40,-1016
120,-32,-992
128,-40,-984
112,-32,-1016
120,-32,-992
120,-40,-1000
128,-40,1016
128,-40,1016
120,-40,-1024
136,-32,-1000
120,-40,-1008
120,-48,-1016
112,-64,-1008
112,-56,-992
112,-56,-992
104,-56,-1000
120,-56,-1016
112,-72,-1008
104,-64,-1016
104,-48,-1016
104,-40,-992
104,-48,-992
112,-40,-1008
112,-48,-1024
112,-40,-1000
104,-16,-1016
112,-8,-1000
112,-24,-992
112,-24,-1008
112,-8,-992
104,-8,-968
112,-24,-976
112,0,-1008
136,-8,-1008
128,-8,-952
144,-16,-1000
128,-16,-1000
120,-32,-1008
120,-32,-984
120,-16,-1016
112,-24,-1024
112,-40,1016
120,-64,-984
120,-40,-1016
120,-40,-1016
112,-48,-1024
112,-72,-1024
104,-64,1008
104,-48,-1000
112,-40,-1008
104,-48,-1024
112,-64,1016
112,-64,1016
104,-56,-992
104,-40,-1024
112,-32,1016
120,-32,-1008
104,-40,-1024
112,-40,-1016
112,-48,-1000
96,-32,-1016
96,-24,-1008
112,-16,-1000
96,-24,1000
104,-40,-1008
104,-40,-1008
80,-32,-984
96,-16,-1000
112,-16,-1000
104,-24,-984
96,-40,-1016
112,-32,-1024
112,-32,-1016
128,-16,-1024
120,0,-992
104,-8,-1000
104,-16,-1008
104,-32,-1008
96,-24,-1000
88,-16,-984
96,-24,-1016
104,-32,-1016
112,-40,-1016
112,-40,-1024
112,-24,-1016
112,-40,-1016
104,-48,1016
112,-32,-1008
112,-48,-1008
112,-72,-1000
112,-56,-1024
112,-40,-1008
120,-40,-1024
112,-40,-1024
112,-32,-1000
112,-32,-1008
112,-32,-1008
104,-24,-1024
104,-24,-984
96,-24,1016
88,-16,1016
96,-24,-984
96,-16,-952
88,-16,-976
96,-8,-984
104,0,-992
104,-16,-992
112,-24,-1000
104,-16,-1000
104,0,-984
88,-8,-1024
104,-8,-1000
96,-24,-1008
104,-24,-984
96,-24,-984
104,-32,-1000
104,-40,-1016
96,-32,-1008
96,-24,-992
104,-16,-992
112,-16,-1024
96,-24,-1008
104,-32,976
112,-72,1000
120,-88,992
144,-104,984
152,-112,992
168,-112,992
184,-120,968
208,-152,944
192,-208,896
184,-264,864
200,-344,792
200,-368,784
208,-328,864
192,-192,904
168,-24,1016
136,40,-968
136,40,-864
152,56,-872
160,136,-880
128,288,-1016
88,448,984
24,640,1016
-72,880,-928
-184,-848,-824
-304,-560,-640
-416,-296,-440
-520,-168,-464
-632,-176,-536
-712,-312,-536
-656,-480,-400
-552,-600,-320
-488,-656,-264
-480,-728,-240
-512,-872,-200
-544,976,-168
-552,800,-200
-528,640,-232
-480,528,-240
-432,504,-240
-416,488,-296
-448,432,-328
-480,344,-384
-496,280,-352
-504,256,-416
-488,208,-464
-496,144,-456
-496,112,-480
-504,104,-472
-504,152,-440
-512,216,-408
-504,264,-368
-520,264,-352
-528,216,-400
-528,176,-344
-528,208,-264
-536,288,-264
-568,368,-224
-584,440,-264
-600,504,-256
-616,544,-200
-640,520,-144
-688,536,-88
-720,568,-144
-744,584,-160
-744,632,-160
-736,680,-216
-728,680,-256
-728,664,-296
-728,632,-320
-744,552,-392
-760,448,-432
-744,360,-440
-696,320,-408
-656,328,-376
-616,384,-264
-608,456,-160
-640,496,-96
-704,496,-120
-776,448,-144
-808,408,-152
-816,456,-152
-800,552,-176
-800,608,-152
-800,752,-152
-768,912,-160
-784,-1000,-128
-832,1000,-200
-896,752,-256
-960,440,-296
-992,240,-384
-944,208,-376
-864,320,-360
-784,448,-360
-752,592,-424
-736,752,-496
-752,824,-568
-752,800,-576
-728,664,-584
-712,528,-560
-664,448,-496
-648,448,-480
-624,456,-472
-616,472,-424
-640,488,-384
-688,472,-352
-712,472,-336
-736,456,-288
-744,432,-328
-752,472,-352
-760,496,-400
-752,504,-424
-744,496,-432
-728,464,-424
-744,408,-352
-736,376,-264
-728,400,-344
-712,448,-400
-696,480,-472
-712,464,-592
-712,392,-536
-688,328,-528
-680,328,-432
-688,360,-376
-688,416,-408
-696,528,-464
-704,632,-464
-736,680,-376
-776,672,-336
-840,640,-344
-880,632,-304
-928,672,-256
-960,720,-216
-1000,712,-216
992,672,-160
960,664,-152
968,648,-88
968,632,-56
968,648,-16
1000,680,-32
-1024,688,-136
-992,664,-192
-960,624,-224
-912,568,-160
-848,544,-88
-800,552,-128
-760,504,-208
-736,432,-144
-688,392,-168
-624,424,-256
-600,488,-328
-584,480,-368
-576,432,-368
-552,448,-288
-560,544,-232
-568,640,-144
-600,696,-136
-640,664,-104
-656,616,-72
-672,576,-104
-680,528,-120
-704,520,-96
-720,560,-64
-736,648,-16
-736,704,48
-752,720,-64
-752,720,-88
-760,720,-112
-760,712,-144
-760,704,-208
-752,696,-208
-768,696,-104
-768,720,-40
-784,720,-24
-800,720,-8
-800,696,-16
-784,664,-88
-792,656,-120
-784,648,-168
-768,664,-120
-752,688,-72
-752,696,-48
-784,672,72
-760,656,64
-752,664,48
-760,624,-24
-776,608,-80
-776,592,-200
-776,576,-136
-760,600,-88
-744,632,-88
-736,664,-88
-720,704,-56
-704,728,56
-696,744,144
-688,776,232
-712,760,184
-736,704,80
-744,600,32
-752,544,-64
-776,528,0
-752,576,-24
-744,648,-56
-728,696,16
-728,736,80
-712,744,56
-728,720,-48
-712,704,-72
-672,680,-160
-672,672,-248
-640,656,-232
-624,648,-216
-600,648,-144
-576,664,-32
-560,664,104
-536,664,200
-528,704,248
-552,696,144
-592,640,16
-664,568,-24
-728,528,-120
-800,528,-144
-832,592,16
-840,704,120
-856,792,168
-904,824,136
-944,856,104
-984,880,56
-992,904,152
-992,944,216
-984,976,240
-976,1016,352
-960,-1008,456
-944,-1024,448
-952,952,344
-976,816,328
-1000,680,280
-984,568,184
-920,488,176
-832,496,160
-768,520,144
-736,568,64
-736,600,-16
-728,584,-8
-704,560,-16
-672,536,0
-640,528,56
-648,544,40
-656,536,-16
-672,488,-120
-680,448,-136
-704,408,-240
-712,392,-184
-720,424,-144
-728,472,-64
-744,520,-80
-776,568,-104
-800,592,-192
-832,600,-8
-848,680,56
-832,736,48
-856,696,16
-864,600,-8
-832,512,-64
-792,432,-144
-784,328,-152
-800,208,-80
-800,96,-16
-792,16,-32
-736,0,-56
-648,216,-80
-640,456,24
-688,512,80
-672,408,48
-624,312,16
-584,256,8
-584,184,32
-592,104,24
-576,72,56
-552,80,80
-528,88,136
-496,104,216
-480,152,288
-464,184,296
-456,200,304
-448,200,240
-424,216,208
-368,280,152
-312,360,120
