304,-864,136
264,-872,96
224,-1016,48
232,840,88
256,720,64
296,744,48
312,880,8
320,976,32
320,1016,64
312,-1024,72
312,-984,40
272,-968,72
264,-976,120
232,-976,160
200,-984,208
184,-992,192
200,-1016,88
176,-1024,48
168,1008,0
152,1016,32
168,-976,168
160,-968,344
168,-984,400
200,-1024,336
312,1008,176
360,1016,216
352,-1016,232
328,-1000,256
328,1016,304
352,928,344
376,840,352
400,744,368
416,632,424
456,552,640
552,672,344
608,704,-248
648,528,-496
664,432,-488
680,488,-168
680,696,104
624,952,296
584,-864,520
568,-728,440
544,-760,512
512,-840,472
464,-968,448
424,-1000,584
344,-904,720
288,-896,672
272,-928,568
312,-936,544
360,-928,472
384,-952,440
400,-1000,416
384,-1016,472
376,-1016,560
400,1008,584
424,952,488
432,944,376
-265,-161,0
48,864,-584
96,768,-608
128,744,-536
112,808,-480
80,856,-472
72,912,-568
72,904,-608
72,872,-608
96,880,-592
104,864,-712
96,800,-736
96,728,-664
80,728,-648
72,760,-608
64,768,-608
64,800,-608
56,832,-672
80,840,-728
80,776,-760
96,688,-720
120,672,-704
96,688,-736
96,696,-736
104,704,-672
112,728,-672
96,744,-624
96,752,-728
112,728,-640
104,728,-728
128,688,-768
112,656,-752
104,640,-704
48,664,-672
40,696,-744
56,712,-744
72,680,-784
88,672,-808
56,672,-816
64,648,-768
64,624,-776
64,608,-768
48,608,-728
40,624,-728
40,656,-680
32,704,-752
32,720,-776
32,680,-768
48,640,-760
48,656,-736
40,624,-768
40,648,-760
40,672,-736
48,712,-720
32,752,-752
16,744,-800
16,696,-792
56,592,-728
8,632,-736
8,648,-736
8,664,-696
40,696,-728
32,752,-792
24,744,-720
8,696,-776
40,664,-792
16,672,-760
0,664,-736
8,688,-728
16,672,-712
8,704,-704
40,712,-728
16,704,-752
-8,696,-736
40,664,-736
40,648,-720
40,648,-656
-8,632,-688
-16,648,-704
16,624,-792
16,608,-712
40,584,-640
40,632,-624
40,712,-624
40,784,-640
48,824,-688
48,824,-640
32,776,-576
40,720,-496
56,704,-352
48,760,-328
40,840,-312
32,912,-296
