936,184,-440
944,232,-440
936,248,-480
944,200,-504
952,168,-504
936,168,-504
912,216,-528
904,240,-560
912,256,-584
928,192,-720
944,96,-720
944,40,-688
2360,1864,4016
2112,-1104,-4080
1672,1232,-1280
1408,264,-1576
488,-1064,-1000
104,-248,-1616
1360,224,-408
1416,840,-216
864,648,-880
688,88,-328
840,-136,-328
920,-104,-352
904,-40,-224
